timestamp,dht22_temp,bmp_180_temp,dht22_hum,bmp_180_presure
2017-01-17T18:27:40+00:00,21.90,22.00,48.00,103312
2017-01-17T18:27:43+00:00,21.90,22.00,48.00,103308
2017-01-17T18:27:45+00:00,21.90,22.00,48.00,103308
2017-01-17T18:27:47+00:00,21.90,22.00,48.00,103306
2017-01-17T18:27:50+00:00,21.90,22.00,48.00,103309
2017-01-17T18:27:52+00:00,21.90,22.00,48.00,103311
2017-01-17T18:27:54+00:00,21.90,22.00,48.00,103310
2017-01-17T18:27:57+00:00,21.90,22.00,48.00,103308
2017-01-17T18:27:59+00:00,21.90,22.00,48.00,103305
2017-01-17T18:28:01+00:00,21.90,22.00,48.00,103318
2017-01-17T18:28:04+00:00,21.90,22.00,48.00,103312
2017-01-17T18:28:06+00:00,22.00,22.00,48.20,103312
2017-01-17T18:28:08+00:00,21.90,22.00,48.00,103312
2017-01-17T18:28:11+00:00,21.90,22.00,48.00,103310
2017-01-17T18:28:13+00:00,21.90,22.00,48.00,103313
2017-01-17T18:28:16+00:00,21.90,22.00,48.00,103304
2017-01-17T18:28:18+00:00,21.90,22.00,48.00,103306
2017-01-17T18:28:20+00:00,22.00,22.00,48.10,103306
2017-01-17T18:28:23+00:00,21.90,22.00,48.00,103311
2017-01-17T18:28:25+00:00,21.90,22.00,48.00,103313
2017-01-17T18:28:27+00:00,22.00,22.00,48.10,103307
2017-01-17T18:28:30+00:00,22.00,22.00,48.10,103309
2017-01-17T18:28:32+00:00,21.90,22.00,48.00,103305
2017-01-17T18:28:34+00:00,21.90,22.00,48.00,103308
2017-01-17T18:28:37+00:00,21.90,22.00,48.00,103307
2017-01-17T18:28:39+00:00,21.90,22.00,48.00,103305
2017-01-17T18:28:41+00:00,21.90,22.00,48.00,103306
2017-01-17T18:28:44+00:00,21.90,22.00,48.00,103311
2017-01-17T18:28:46+00:00,21.90,22.00,48.00,103308
2017-01-17T18:28:48+00:00,21.90,22.00,48.00,103311
2017-01-17T18:28:51+00:00,22.00,22.00,48.10,103303
2017-01-17T18:28:53+00:00,21.90,22.00,48.00,103312
2017-01-17T18:28:56+00:00,21.90,22.00,48.00,103314
2017-01-17T18:28:58+00:00,21.90,22.00,48.00,103302
2017-01-17T18:29:00+00:00,21.90,22.00,48.00,103312
2017-01-17T18:29:03+00:00,21.90,22.00,48.00,103309
2017-01-17T18:29:05+00:00,21.90,22.00,48.00,103307
2017-01-17T18:29:07+00:00,22.00,22.00,48.10,103313
2017-01-17T18:29:10+00:00,21.90,22.00,48.00,103305
2017-01-17T18:29:12+00:00,21.90,22.00,48.00,103309
2017-01-17T18:29:14+00:00,22.00,22.00,48.10,103311
2017-01-17T18:29:17+00:00,21.90,22.00,48.00,103307
2017-01-17T18:29:19+00:00,22.00,22.00,48.10,103308
2017-01-17T18:29:21+00:00,21.90,22.00,48.00,103306
2017-01-17T18:29:24+00:00,22.00,22.00,48.10,103312
2017-01-17T18:29:26+00:00,21.90,22.00,48.00,103307
2017-01-17T18:29:28+00:00,21.90,22.00,48.00,103305
2017-01-17T18:29:31+00:00,21.90,22.00,48.00,103309
2017-01-17T18:29:33+00:00,22.00,22.00,48.10,103307
2017-01-17T18:29:35+00:00,21.90,22.00,48.00,103308
2017-01-17T18:29:38+00:00,21.90,22.00,48.00,103314
2017-01-17T18:29:40+00:00,21.90,22.00,48.00,103309
2017-01-17T18:29:43+00:00,21.90,22.00,48.00,103310
2017-01-17T18:29:45+00:00,21.90,22.00,48.00,103308
2017-01-17T18:29:47+00:00,21.90,22.00,48.00,103310
2017-01-17T18:29:50+00:00,21.90,22.00,48.00,103308
2017-01-17T18:29:52+00:00,21.90,22.00,48.00,103314
2017-01-17T18:29:54+00:00,22.00,22.00,48.10,103305
2017-01-17T18:29:57+00:00,21.90,22.00,48.00,103310
2017-01-17T18:29:59+00:00,21.90,22.00,47.90,103310
2017-01-17T18:30:01+00:00,21.90,22.00,48.00,103311
2017-01-17T18:30:04+00:00,21.90,22.00,48.00,103311
2017-01-17T18:30:06+00:00,21.90,22.00,48.00,103307
2017-01-17T18:30:08+00:00,21.90,22.00,48.00,103307
2017-01-17T18:30:11+00:00,22.00,22.00,48.10,103309
2017-01-17T18:30:13+00:00,21.90,22.00,48.00,103310
2017-01-17T18:30:15+00:00,21.90,22.00,48.00,103304
2017-01-17T18:30:18+00:00,21.90,22.00,48.00,103306
2017-01-17T18:30:20+00:00,21.90,22.00,48.00,103303
2017-01-17T18:30:23+00:00,21.90,22.00,48.00,103306
2017-01-17T18:30:25+00:00,22.00,22.00,48.10,103311
2017-01-17T18:30:27+00:00,21.90,22.00,48.00,103313
2017-01-17T18:30:30+00:00,21.90,22.00,48.00,103310
2017-01-17T18:30:32+00:00,21.90,22.00,48.00,103304
2017-01-17T18:30:34+00:00,21.90,22.00,48.00,103301
2017-01-17T18:30:37+00:00,21.90,22.00,48.00,103301
2017-01-17T18:30:39+00:00,21.90,22.00,48.00,103309
2017-01-17T18:30:41+00:00,21.90,22.00,48.10,103308
2017-01-17T18:30:44+00:00,21.90,22.00,48.10,103313
2017-01-17T18:30:46+00:00,21.90,22.00,48.10,103318
2017-01-17T18:30:48+00:00,21.90,22.00,48.00,103317
2017-01-17T18:30:51+00:00,21.90,22.00,48.00,103311
2017-01-17T18:30:53+00:00,21.90,22.00,48.00,103306
2017-01-17T18:30:55+00:00,21.90,22.00,48.00,103307
2017-01-17T18:30:58+00:00,22.00,22.00,48.10,103301
2017-01-17T18:31:00+00:00,21.90,22.00,48.00,103307
2017-01-17T18:31:02+00:00,21.90,22.00,48.00,103305
2017-01-17T18:31:05+00:00,21.90,22.00,48.00,103309
2017-01-17T18:31:07+00:00,21.90,22.00,48.00,103306
2017-01-17T18:31:10+00:00,21.90,22.00,48.00,103304
2017-01-17T18:31:12+00:00,22.00,22.00,48.10,103315
2017-01-17T18:31:14+00:00,21.90,22.00,48.00,103305
2017-01-17T18:31:17+00:00,21.90,22.00,48.00,103307
2017-01-17T18:31:19+00:00,22.00,22.00,48.10,103309
2017-01-17T18:31:21+00:00,21.90,22.00,48.00,103307
2017-01-17T18:31:24+00:00,21.90,22.00,48.00,103305
2017-01-17T18:31:26+00:00,21.90,22.00,48.00,103305
2017-01-17T18:31:28+00:00,21.90,22.00,48.00,103308
2017-01-17T18:31:31+00:00,21.90,22.00,48.00,103312
2017-01-17T18:31:33+00:00,22.00,22.00,48.10,103305
2017-01-17T18:31:35+00:00,21.90,22.00,48.00,103309
2017-01-17T18:31:38+00:00,21.90,22.00,47.90,103310
2017-01-17T18:31:40+00:00,21.90,22.00,47.90,103312
2017-01-17T18:31:42+00:00,21.90,22.00,47.90,103300
2017-01-17T18:31:45+00:00,22.00,22.00,48.10,103309
2017-01-17T18:31:47+00:00,22.00,22.00,48.10,103306
2017-01-17T18:31:50+00:00,21.90,22.00,47.90,103305
2017-01-17T18:31:52+00:00,22.00,22.00,48.10,103303
2017-01-17T18:31:54+00:00,22.00,22.00,48.10,103311
2017-01-17T18:31:57+00:00,22.00,22.00,48.10,103306
2017-01-17T18:31:59+00:00,22.00,22.00,48.10,103304
2017-01-17T18:32:01+00:00,21.90,22.00,48.00,103302
2017-01-17T18:32:04+00:00,22.00,22.00,48.10,103316
2017-01-17T18:32:06+00:00,22.00,22.00,48.10,103304
2017-01-17T18:32:08+00:00,22.00,22.00,48.10,103308
2017-01-17T18:32:11+00:00,22.00,22.00,48.10,103308
2017-01-17T18:32:13+00:00,22.00,22.00,48.10,103310
2017-01-17T18:32:15+00:00,22.00,22.00,48.10,103303
2017-01-17T18:32:18+00:00,22.00,22.00,48.10,103308
2017-01-17T18:32:20+00:00,21.90,22.00,47.90,103313
2017-01-17T18:32:22+00:00,22.00,22.00,48.00,103308
2017-01-17T18:32:25+00:00,22.00,22.00,48.00,103310
2017-01-17T18:32:27+00:00,22.00,22.00,48.10,103309
2017-01-17T18:32:29+00:00,22.00,22.00,48.10,103303
2017-01-17T18:32:32+00:00,22.00,22.00,48.10,103309
2017-01-17T18:32:34+00:00,22.00,22.00,48.10,103309
2017-01-17T18:32:37+00:00,22.00,22.00,48.00,103312
2017-01-17T18:32:39+00:00,22.00,22.00,48.10,103309
2017-01-17T18:32:41+00:00,22.00,22.00,48.10,103307
2017-01-17T18:32:44+00:00,22.00,22.00,48.10,103305
2017-01-17T18:32:46+00:00,22.00,22.00,48.10,103311
2017-01-17T18:32:48+00:00,22.00,22.00,48.10,103310
2017-01-17T18:32:51+00:00,21.90,22.00,48.00,103310
2017-01-17T18:32:53+00:00,21.90,22.00,48.00,103306
2017-01-17T18:32:55+00:00,22.00,22.00,48.10,103311
2017-01-17T18:32:58+00:00,22.00,22.00,48.10,103304
2017-01-17T18:33:00+00:00,21.90,22.00,48.00,103307
2017-01-17T18:33:02+00:00,22.00,22.00,48.10,103304
2017-01-17T18:33:05+00:00,22.00,22.00,48.10,103309
2017-01-17T18:33:07+00:00,21.90,22.00,48.00,103304
2017-01-17T18:33:09+00:00,21.90,22.00,48.00,103310
2017-01-17T18:33:12+00:00,21.90,22.00,48.00,103308
2017-01-17T18:33:14+00:00,21.90,22.00,48.00,103310
2017-01-17T18:33:17+00:00,21.90,22.00,48.00,103314
2017-01-17T18:33:19+00:00,21.90,22.00,48.00,103309
2017-01-17T18:33:21+00:00,21.90,22.00,48.00,103305
2017-01-17T18:33:24+00:00,22.00,22.00,48.20,103303
2017-01-17T18:33:26+00:00,22.00,22.00,48.10,103312
2017-01-17T18:33:28+00:00,21.90,22.00,48.10,103309
2017-01-24T17:31:22+00:00,20.10,20.10,48.40,101817
2017-01-24T17:33:08+00:00,20.20,20.10,48.40,101817
2017-01-24T17:34:09+00:00,20.20,20.10,48.40,101810
2017-01-24T17:35:05+00:00,20.20,20.20,48.40,101813
2017-01-24T17:37:17+00:00,20.30,20.30,48.50,101823
